,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
4341,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,56,21280000
4342,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,24,10200000
4343,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,93,39525000
4344,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,4,1240000
4345,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,30,12750000
4346,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,3,1275000
4347,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,124,17085712
4348,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1635,233585040
4349,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,27,3488400
4350,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,33,4827900
4351,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,117,16729762
4352,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,46,6570871
4353,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,22,12188000
4354,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,13,6396000
4355,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910
4356,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,26,11050000
4357,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,15,6117825
4358,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A333,1,407855
4359,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A343,1,418880
4360,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,8,3174656
4361,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,71,10357400
4362,Air Berlin,AB,Air Berlin,AB,International,Europe,Passenger,Wide Body,Airbus,A332,20,8024820
4363,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,60,8052000
4364,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,218,31032234
4365,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,59,10118580
4366,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B763,30,9600000
4367,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000
4368,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30,25529520
4369,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,8,3680832
4370,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,16,8864000
4371,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,4,1880000
4372,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,23,12742000
4373,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,4,1587328
4374,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A333,1,407855
4375,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B734,24,2904000
4376,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B734,5,605000
4377,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,87,11240400
4378,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B737,6,775200
4379,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,30,25860210
4380,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,153,22032000
4381,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,25,11750000
4382,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,15,2160000
4383,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,207,31780100
4384,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B739,37,5688100
4385,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
4386,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,61,8674078
4387,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,785,134627500
4388,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,534,76896000
4389,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,1,198000
4390,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,26,8060000
4391,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B190,12,195060
4392,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,22,14386000
4393,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A321,2,343040
4394,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B744,1,630000
4395,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B772,29,13340000
4396,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,44,11968000
4397,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210
4398,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B772,25,11500000
4399,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B773,5,2770000
4400,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,30,4389000
4401,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,73,40442000
4402,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,21,13986000
4403,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
4404,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,8,3183474
4405,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B788,30,11400000
4406,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,206,15486668
4407,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,206,15443678
4408,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,21,2824122
4409,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,57,8105286
4410,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,387,42570000
4411,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,26,3803800
4412,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,38,5233045
4413,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,262,41212600
4414,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,198,39204000
4415,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,30,11940232
4416,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,44,9856000
4417,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,256,77970000
4418,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD90,18,2556000
4419,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,4,2608000
4420,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,30,14760000
4421,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,17,11210000
4422,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,464,67883200
4423,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,2,292600
4424,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,22,3029578
4425,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,25,3657500
4426,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,E190,14,1355200
4427,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217
4428,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,4,1880000
4429,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,123,17619327
4430,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,13,6396000
4431,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,30,4050995
4432,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,1,350000
4433,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,33,4827900
4434,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,29,3746800
4435,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,23,9775000
4436,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
4437,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,43,6154198
4438,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1630,233026172
4439,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,122,16810136
4440,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,14,5950000
4441,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,25,10625000
4442,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,31,13175000
4443,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,65,27625000
4444,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,1,425000
4445,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,52,19760000
4446,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,32,12160000
4447,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,61,28060000
4448,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,4,1850000
4449,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,122,55070000
4450,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,1,350000
4451,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,8,2560000
4452,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,401,89824000
4453,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,527,104346000
4454,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B744,67,42210000
4455,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B744,155,97650000
4456,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B744,26,16380000
4457,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,68,10656400
4458,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,25,3932500
4459,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1068,167576400
4460,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,18,2633400
4461,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,28,4096400
4462,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,685,100215500
4463,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,1,129200
4464,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,34,4834732
4465,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,56,7963088
4466,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,787,111909826
4467,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,11,1515668
4468,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,26,3582488
4469,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,352,48501376
4470,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
4471,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,36,5238180
4472,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,7,964523
4473,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A343,31,13121928
4474,Sun Country Airlines,SY,Sun Country Airlines,SY,International,US,Passenger,Narrow Body,Boeing,B738,1,128000
4475,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,59,8629600
4476,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,2,258400
4477,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,130,18720000
4478,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,765,97920000
4479,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B733,455,51870000
4480,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,66,4947162
4481,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,1088,81553216
4482,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,26,1948882
4483,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ9,67,5031700
4484,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ7,26,1742000
4485,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,377,25259000
4486,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,62,4154000
4487,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000
4488,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1724,81028000
4489,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
4490,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,30,12698610
4491,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16492000
4492,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,27,14958000
4493,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,9,3769902
4494,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000
4495,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26755287
4496,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
4497,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B772,1,575000
4498,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000
4499,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,29,22127000
4500,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B744,2,1283000
4501,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,13,8476000
4502,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,8,3320000
4503,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,2,1108000
4504,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,29,18270000
4505,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,239,40992802
4506,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,244,34696312
4507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
4508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
4509,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,61,24475701
4510,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,54,7262028
4511,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD11,14,6741000
4512,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,3,1474500
4513,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC10,25,9560500
4514,Etihad Airways,EY,Etihad Airways,EY,International,Asia,Passenger,Wide Body,Boeing,B772,31,15252000
4515,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
4516,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,B744,5,3260000
4517,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,227,68740000
